Run,Sample,patient,x,y,AS_cluster,type
SRR7667074,PT081_P5_H08_S188,PT081,-13.515576,-4.585886,4,Tumor
SRR7667049,PT081_P5_F03_S159,PT081,-16.509983,-5.4252725,4,Tumor
SRR7667033,PT081_P5_D07_S139,PT081,-13.756907,-6.383476,4,Tumor
SRR7667029,PT081_P5_D01_S133,PT081,-14.862795,-4.5296454,4,Tumor
SRR7666742,PT039_P1_D02,PT039,18.224352,-12.74845,1,Tumor
SRR7666730,PT039_P1_C02,PT039,21.949312,-10.803137,1,Tumor
SRR7666731,PT039_P1_C03,PT039,18.352324,-16.71585,1,Tumor
SRR7667359,PT039_P121_A06_S294,PT039,11.989916,-16.360973,1,Tumor
SRR7666707,PT039_P1_A03,PT039,15.867248,-15.54284,1,Tumor
SRR7667485,PT039_P10_D04_S232,PT039,13.134716,-14.469569,1,Tumor
SRR7667390,PT039_P121_D02_S326,PT039,8.440427,-11.91849,1,Tumor
SRR7667532,PT039_P10_H09_S285,PT039,9.347856,-15.279437,1,Tumor
SRR7667479,PT039_P10_C10_S226,PT039,11.799836,-14.138871,1,Tumor
SRR7666771,PT039_P1_F08,PT039,16.958906,-16.136559,1,Tumor
SRR7666693,PT039_P11_G09_S81,PT039,11.129428,-13.5357,1,Tumor
SRR7667358,PT039_P121_A05_S293,PT039,9.861648,-11.428955,1,Tumor
SRR7666763,PT039_P1_E11,PT039,18.036148,-9.95658,1,Tumor
SRR7667372,PT039_P121_B07_S307,PT039,11.300695,-9.363151,1,Tumor
SRR7666752,PT039_P1_D12,PT039,20.288534,-15.31724,1,Tumor
SRR7666720,PT039_P1_B04,PT039,19.998104,-8.250226,1,Tumor
SRR7667490,PT039_P10_D10_S238,PT039,12.058137,-14.416757,1,Tumor
SRR7667398,PT039_P121_D11_S335,PT039,5.895259,-12.45372,1,Tumor
SRR7666743,PT039_P1_D03,PT039,19.230051,-14.19756,1,Tumor
SRR7666761,PT039_P1_E09,PT039,19.634203,-13.679108,1,Tumor
SRR7666700,PT039_P11_H06_S90,PT039,13.44211,-3.5090334,1,Tumor
SRR7666740,PT039_P1_C12,PT039,16.266617,-12.743791,1,Tumor
SRR7667400,PT039_P121_E01_S337,PT039,7.057927,-10.566647,1,Tumor
SRR7666662,PT039_P11_D05_S41,PT039,10.865718,-7.4053783,1,Tumor
SRR7666656,PT039_P11_C11_S35,PT039,12.592608,-10.25828,1,Tumor
SRR7666750,PT039_P1_D10,PT039,17.708057,-12.964882,1,Tumor
SRR7667474,PT039_P10_C05_S221,PT039,9.017923,-15.696479,1,Tumor
SRR7666759,PT039_P1_E07,PT039,18.894003,-15.764341,1,Tumor
SRR7666736,PT039_P1_C08,PT039,19.655684,-14.299199,1,Tumor
SRR7667465,PT039_P10_B07_S211,PT039,12.923182,-13.381424,1,Tumor
SRR7667368,PT039_P121_B03_S303,PT039,9.556216,-9.204702,1,Tumor
SRR7666666,PT039_P11_D10_S46,PT039,10.603592,-5.593837,1,Tumor
SRR7666698,PT039_P11_H03_S87,PT039,12.858169,-10.500444,1,Tumor
SRR7666647,PT039_P11_B08_S20,PT039,10.769348,-13.525328,1,Tumor
SRR7666668,PT039_P11_E01_S49,PT039,11.0871105,-13.093313,1,Tumor
SRR7666634,PT039_P11_A03_S3,PT039,12.074343,-8.239093,1,Tumor
SRR7666704,PT039_P11_H12_S96,PT039,10.407284,-10.224941,1,Tumor
SRR7666722,PT039_P1_B06,PT039,19.756327,-12.376289,1,Tumor
SRR7666767,PT039_P1_F04,PT039,17.561676,-7.5020127,1,Tumor
SRR7666765,PT039_P1_F02,PT039,20.393106,-11.067866,1,Tumor
SRR7667449,PT039_P10_A03_S195,PT039,14.185988,-8.919302,1,Tumor
SRR7666769,PT039_P1_F06,PT039,18.222574,-12.270915,1,Tumor
SRR7666760,PT039_P1_E08,PT039,18.49706,-15.097482,1,Tumor
SRR7666657,PT039_P11_C12_S36,PT039,10.574712,-16.075775,1,Tumor
SRR7666729,PT039_P1_C01,PT039,17.241388,-14.962954,1,Tumor
SRR7666718,PT039_P1_B02,PT039,19.466015,-10.649868,1,Tumor
SRR7666764,PT039_P1_F01,PT039,16.946611,-11.727872,1,Tumor
SRR7666689,PT039_P11_G04_S76,PT039,10.104124,-14.445228,1,Tumor
SRR7667360,PT039_P121_A07_S295,PT039,12.37326,-12.711391,1,Tumor
SRR7666652,PT039_P11_C05_S29,PT039,14.050215,-12.150233,1,Tumor
SRR7666741,PT039_P1_D01,PT039,16.55946,-7.2398386,1,Tumor
SRR7666708,PT039_P1_A04,PT039,19.715782,-9.802743,1,Tumor
SRR7666745,PT039_P1_D05,PT039,18.67938,-13.720649,1,Tumor
SRR7666674,PT039_P11_E09_S57,PT039,13.441217,-11.733118,1,Tumor
SRR7666692,PT039_P11_G08_S80,PT039,13.208028,-16.153301,1,Tumor
SRR7667395,PT039_P121_D08_S332,PT039,6.31089,-12.670852,1,Tumor
SRR7666755,PT039_P1_E03,PT039,20.537252,-16.850208,1,Tumor
SRR7666738,PT039_P1_C10,PT039,21.085104,-9.437078,1,Tumor
SRR7667384,PT039_P121_C08_S320,PT039,7.973832,-10.150943,1,Tumor
SRR7666737,PT039_P1_C09,PT039,18.99961,-11.216003,1,Tumor
SRR7667014,PT081_P5_B09_S117,PT081,-15.096077,-18.961784,4,Tumor
SRR7666766,PT039_P1_F03,PT039,16.604118,-10.617858,1,Tumor
SRR7667364,PT039_P121_A11_S299,PT039,12.010718,-16.591354,1,Tumor
SRR7666712,PT039_P1_A08,PT039,17.218336,-14.403904,1,Tumor
SRR7667357,PT039_P121_A04_S292,PT039,10.705957,-4.2290173,1,Tumor
SRR7667518,PT039_P10_G06_S270,PT039,13.061687,-8.059916,1,Tumor
SRR7666768,PT039_P1_F05,PT039,16.377968,-8.332619,1,Tumor
SRR7666703,PT039_P11_H10_S94,PT039,11.972063,-12.675273,1,Tumor
SRR7666721,PT039_P1_B05,PT039,21.333828,-12.899789,1,Tumor
SRR7667361,PT039_P121_A08_S296,PT039,10.813541,-15.916572,1,Tumor
SRR7666664,PT039_P11_D08_S44,PT039,12.839925,-9.298265,1,Tumor
SRR7667516,PT039_P10_G03_S267,PT039,13.317891,-14.637245,1,Tumor
SRR7666728,PT039_P1_B12,PT039,21.478817,-14.945475,1,Tumor
SRR7666770,PT039_P1_F07,PT039,17.753551,-9.877178,1,Tumor
SRR7667396,PT039_P121_D09_S333,PT039,-1.742072,2.0294015,1,Tumor
SRR7667373,PT039_P121_B08_S308,PT039,15.2373295,-4.665214,1,Tumor
SRR7667463,PT039_P10_B05_S209,PT039,14.11319,-14.29876,1,Tumor
SRR7667481,PT039_P10_C12_S228,PT039,13.845666,-13.826796,1,Tumor
SRR7667534,PT039_P10_H12_S288,PT039,10.364028,-11.754882,1,Tumor
SRR7667370,PT039_P121_B05_S305,PT039,10.706976,-9.592682,1,Tumor
SRR7666953,PT081_P3_C03_S219,PT081,-13.312983,-16.2728,4,Tumor
SRR7666672,PT039_P11_E05_S53,PT039,11.975854,-11.659695,1,Tumor
SRR7666762,PT039_P1_E10,PT039,21.184658,-13.592718,1,Tumor
SRR7666643,PT039_P11_B04_S16,PT039,11.81057,-10.532995,1,Tumor
SRR7666773,PT039_P1_F10,PT039,19.44775,-15.52399,1,Tumor
SRR7666725,PT039_P1_B09,PT039,18.05543,-10.722126,1,Tumor
SRR7666681,PT039_P11_F06_S66,PT039,12.648855,-9.369076,1,Tumor
SRR7666732,PT039_P1_C04,PT039,20.31986,-16.386427,1,Tumor
SRR7666673,PT039_P11_E06_S54,PT039,13.237037,-11.806923,1,Tumor
SRR7667374,PT039_P121_B09_S309,PT039,13.183332,-2.8921413,1,Tumor
SRR7666688,PT039_P11_G03_S75,PT039,13.649087,-3.6779208,1,Tumor
